"State","Number","Rate (per million)"
"AL","74","13.7"
"AK","Suppressed","Suppressed"
"AZ","92","11.7"
"AR","32","9.4"
"CA","399","9.3"
"CO","46","7.7"
"CT","38","9"
"DE","14","Unreliable"
"DC","Suppressed","Suppressed"
"FL","179","7"
"GA","108","10.1"
"HI","24","13.4"
"ID","27","13.8"
"IL","149","10.9"
"IN","78","11"
"IA","32","8.8"
"KS","43","12.2"
"KY","32","6.6"
"LA","39","8.2"
"ME","16","Unreliable"
"MD","68","10"
"MA","71","8.9"
"MI","119","10.3"
"MN","55","8"
"MS","47","14.3"
"MO","68","10.1"
"MT","12","Unreliable"
"NE","23","10.9"
"NV","32","9.5"
"NH","17","Unreliable"
"NJ","110","11"
"NM","41","18.2"
"NY","256","11.6"
"NC","116","10.9"
"ND","11","Unreliable"
"OH","135","10.5"
"OK","54","13.4"
"OR","65","12.8"
"PA","132","8.7"
"RI","Suppressed","Suppressed"
"SC","69","12.4"
"SD","12","Unreliable"
"TN","72","10.2"
"TX","232","8.3"
"UT","31","11.5"
"VT","11","Unreliable"
"VA","71","7.5"
"WA","105","13"
"WV","24","10.6"
"WI","59","8.7"
"WY","Suppressed","Suppressed"
"","",""